티커,BPS,PER,PBR,EPS,DIV,DPS
095570,8075,3.9,0.82,1707,4.06,270
006840,45961,0.0,0.46,0,0.94,200
027410,16393,8.29,0.35,684,1.94,110
282330,46849,21.29,3.88,8547,1.65,3000
138930,28745,3.37,0.27,2341,7.1,560
001460,577324,12.72,0.79,35764,0.33,1500
001465,0,0.0,0.0,0,0.87,1550
001040,151085,10.61,0.58,8197,2.64,2300
079160,5520,0.0,4.97,0,0.0,0
00104K,0,0.0,0.0,0,3.1,2350
000120,178766,66.54,0.69,1841,0.0,0
011150,1857,70.66,2.32,61,0.0,0
011155,0,0.0,0.0,0,0.0,0
001045,0,0.0,0.0,0,4.47,2350
097950,381542,10.5,1.05,38246,1.25,5000
097955,0,0.0,0.0,0,2.84,5050
000590,226165,5.29,0.3,12789,0.74,500
012030,2292,8.67,0.43,114,0.0,0
016610,22133,2.3,0.29,2831,7.68,500
005830,110605,4.56,0.6,14482,5.3,3500
000990,25449,9.17,2.63,7292,0.67,450
000995,0,0.0,0.0,0,0.5,500
139130,32507,3.07,0.27,2886,7.12,630
001530,29290,10.79,0.82,2234,0.83,200
000210,173922,1.49,0.36,41881,3.05,1900
001880,41105,3.45,0.66,7911,2.75,750
000215,0,0.0,0.0,0,4.86,1950
375500,194338,2.22,0.31,26903,4.53,2700
37550L,0,0.0,0.0,0,0.0,0
37550K,0,0.0,0.0,0,7.51,2750
004840,18916,0.0,0.29,0,0.56,30
155660,10991,8.85,0.62,768,0.74,50
069730,10683,12.29,0.61,529,0.62,40
017940,226210,2.21,0.22,22789,4.37,2200
383220,14307,23.35,9.89,6061,0.78,1100
007700,49495,0.3,0.53,88031,0.65,170
114090,6201,0.0,2.48,0,0.0,0
078930,108672,2.91,0.41,15304,4.49,2000
006360,54487,8.75,0.78,4834,3.07,1300
001250,4013,16.24,1.15,283,0.0,0
007070,39822,3.27,0.75,9096,4.04,1200
078935,0,0.0,0.0,0,5.63,2050
012630,43552,3.5,0.17,2069,3.45,250
039570,11102,16.83,0.9,593,4.51,450
089470,10379,13.19,0.45,356,2.98,140
294870,43665,5.64,0.35,2679,3.97,600
267250,89404,0.0,0.65,0,9.55,5550
097230,5189,0.0,1.53,0,0.0,0
003580,2559,0.0,3.01,0,0.0,0
011200,21179,2.14,1.37,13506,2.07,600
082740,4476,0.0,2.39,0,0.0,0
003560,800,0.0,1.4,0,0.0,0
175330,21392,3.53,0.41,2510,6.76,599
234080,8492,18.09,1.77,829,3.33,500
001060,8650,0.0,3.53,0,1.06,325
001067,0,0.0,0.0,0,0.47,325
001065,0,0.0,0.0,0,0.91,350
096760,1356,0.0,3.24,0,2.05,90
105560,121808,5.24,0.48,11134,5.04,2940
002380,657509,0.0,0.53,0,2.0,7000
344820,87084,8.46,0.71,7353,3.86,2400
009070,7431,9.21,0.84,681,0.96,60
009440,7257,34.92,0.59,122,1.64,70
119650,2787,7.19,1.96,761,0.0,0
092220,1884,40.25,1.71,80,0.0,0
016380,11498,12.37,2.05,1908,0.42,100
016385,0,0.0,0.0,0,0.05,150
001390,34343,7.1,1.19,5749,1.23,500
033180,3088,0.0,0.74,0,0.0,0
001940,68463,2.28,0.27,8106,2.16,400
025000,119120,5.31,0.45,10123,5.11,2750
092230,208904,5.53,0.31,11573,4.69,3000
000040,385,0.0,2.22,0,0.0,0
044450,15261,4.77,0.78,2497,2.94,350
030200,63512,6.16,0.56,5759,5.38,1910
033780,76336,10.45,1.08,7898,5.82,4800
058850,4374,5.4,0.56,454,4.08,100
058860,5909,3.46,0.45,767,3.77,100
093050,46904,4.64,0.41,4169,3.1,600
003550,132574,4.76,0.56,15504,3.79,2800
034220,36664,5.04,0.46,3315,3.89,650
051900,321556,18.08,2.83,50395,1.32,12000
051905,0,0.0,0.0,0,2.42,12050
373220,39831,103.08,10.26,3963,0.0,0
003555,0,0.0,0.0,0,4.66,2850
032640,17852,8.47,0.78,1642,3.96,550
011070,140050,9.22,2.47,37537,0.87,3000
066570,95691,20.35,1.22,5725,0.73,850
066575,0,0.0,0.0,0,1.54,900
037560,8424,18.42,0.76,348,1.72,110
051910,278455,11.17,1.89,47108,2.28,12000
051915,0,0.0,0.0,0,4.73,12050
079550,35023,17.71,2.44,4829,1.4,1200
006260,127727,5.75,0.45,10004,2.52,1450
010120,50525,17.28,0.99,2890,2.0,1000
000680,7533,4.66,0.51,818,0.0,0
229640,5107,16.46,1.57,486,3.0,240
001120,49349,3.95,0.78,9733,5.98,2300
108670,86527,44.64,0.67,1306,0.51,300
108675,0,0.0,0.0,0,1.19,350
383800,18209,5.44,0.55,1839,0.0,0
38380K,0,0.0,0.0,0,0.0,0
023150,9654,12.94,1.22,908,2.98,350
035420,157641,2.53,1.78,110854,0.18,511
181710,53297,10.67,0.67,3341,0.0,0
005940,21630,3.52,0.5,3071,9.72,1050
005945,0,0.0,0.0,0,10.28,1100
034310,20040,10.95,0.85,1548,2.21,375
008260,4960,7.64,1.19,771,1.27,75
004250,7686,18.83,1.53,624,0.85,100
004255,0,0.0,0.0,0,1.49,105
010060,128783,4.0,0.85,27387,1.83,2000
178920,11097,22.07,4.33,2179,2.27,1090
005490,666803,3.36,0.44,87330,5.8,17000
010950,60024,8.95,1.77,11840,3.58,3800
010955,0,0.0,0.0,0,6.18,3825
034120,37150,6.56,1.36,7693,1.98,1000
005090,41630,11.73,1.2,4270,2.99,1500
001380,2735,0.0,0.7,0,0.0,0
004060,1207,3.22,0.62,232,0.0,0
001770,33420,6.87,0.98,4768,0.31,100
002360,835,258.33,1.86,6,0.65,10
009160,9786,5.5,0.91,1621,2.24,200
123700,11373,9.61,0.39,456,3.42,150
025530,11249,12.17,0.34,314,4.58,175
034730,375047,7.19,0.72,37408,2.97,8000
011790,55782,24.78,2.74,6174,0.72,1100
018670,235917,4.57,0.54,27773,4.02,5100
001740,10056,10.73,0.48,451,2.48,120
001745,0,0.0,0.0,0,0.19,145
006120,121961,4.03,0.35,10478,3.55,1500
006125,0,0.0,0.0,0,4.42,1550
210980,26427,4.83,1.08,5910,2.8,800
068400,10651,24.94,1.06,453,0.0,0
302440,20932,27.35,6.33,4844,0.0,0
326030,5672,112.44,16.41,828,0.0,0
402340,117868,19.37,0.44,2653,0.0,0
361610,31084,88.59,3.97,1394,0.0,0
03473K,0,0.0,0.0,0,3.57,8050
096770,206117,55.91,0.99,3640,1.23,2508
096775,0,0.0,0.0,0,1.99,2558
001510,1446,9.41,0.6,92,1.73,15
001515,0,0.0,0.0,0,0.52,20
285130,105002,14.97,1.22,8586,2.33,3000
28513K,0,0.0,0.0,0,4.59,3050
017670,53218,7.93,1.07,7191,11.68,6660
000660,90394,7.9,1.22,13989,1.39,1540
064960,61655,8.54,0.8,5787,3.24,1600
100840,37171,11.22,0.59,1957,3.64,800
003570,29158,3.39,0.31,2666,4.42,400
036530,65710,3.33,0.27,5329,3.94,700
005610,41335,18.28,2.21,4990,1.64,1500
011810,2337,0.0,1.88,0,0.0,0
077970,10271,7525.0,1.47,2,0.0,0
071970,5428,0.0,0.94,0,0.0,0
002820,14375,0.0,0.4,0,1.41,80
084870,2622,0.0,0.85,0,0.0,0
002710,6507,9.94,1.9,1242,1.21,150
069260,18226,11.28,1.22,1972,4.49,1000
002900,1714,12.97,1.48,195,0.79,20
024070,7839,44.62,0.45,79,1.42,50
037270,2125,20.2,3.31,348,0.0,0
000500,68205,17.56,0.38,1489,1.61,420
000860,90881,3.72,0.28,6948,1.93,500
035250,16044,0.0,1.66,0,0.0,0
011420,1200,17.65,1.97,134,0.0,0
002100,11888,16.01,1.2,890,2.46,350
009450,31164,8.88,1.68,5898,0.86,450
267290,63687,6.88,0.41,3756,3.38,875
012320,197979,5.66,0.19,6714,1.97,750
000050,30033,18.23,0.53,872,0.79,125
214390,6095,0.0,1.4,0,0.59,50
012610,5553,12.36,1.31,589,0.69,50
009140,45795,10.32,0.64,2843,0.85,250
013580,78914,2.11,0.47,17601,2.15,800
012200,5389,0.0,0.67,0,0.98,35
012205,0,0.0,0.0,0,0.59,40
002140,4323,40.38,1.71,183,0.54,40
010130,430439,12.64,1.34,45648,3.47,20000
002240,66447,5.04,0.43,5645,1.05,300
009290,12151,12.44,0.6,585,1.37,100
017040,2486,21.16,1.14,134,0.35,10
017900,4165,12.21,0.64,219,1.87,50
037710,93727,5.59,0.39,6584,4.62,1700
030610,21947,3.43,0.35,2255,6.46,500
339770,7197,13.05,2.17,1195,1.92,300
007690,92708,2.6,0.6,21321,3.97,2200
005320,1901,0.0,1.21,0,0.0,0
001140,477,0.0,2.69,0,0.0,0
002720,3565,0.0,1.67,0,0.0,0
083420,5290,14.26,1.84,683,2.26,220
014530,5350,13.51,0.86,339,3.49,160
014280,11309,13.01,0.88,762,1.01,100
014285,0,0.0,0.0,0,0.71,110
008870,129156,15.0,0.53,4566,2.34,1600
001570,2530,15.39,1.79,295,0.0,0
002990,18202,2.54,0.58,4130,7.62,800
002995,0,0.0,0.0,0,2.66,850
011780,181037,2.19,0.85,70433,6.47,10000
011785,0,0.0,0.0,0,10.55,10050
214330,1855,0.0,0.81,0,0.0,0
001210,1541,0.0,1.43,0,0.0,0
073240,4083,0.0,1.04,0,0.0,0
092440,8360,13.42,0.54,335,3.34,150
000270,87073,7.11,0.97,11874,3.55,3000
024110,34345,3.91,0.33,2877,6.93,780
013700,2230,0.0,1.17,0,0.77,20
004540,6103,21.8,0.8,225,0.0,0
004545,0,0.0,0.0,0,0.0,0
001260,8935,5.75,1.42,2208,0.0,0
008350,2135,7.85,1.39,377,0.0,0
008355,0,0.0,0.0,0,0.0,0
004270,3790,14.25,0.85,226,0.78,25
003920,960522,0.0,0.42,0,0.25,1000
003925,0,0.0,0.0,0,0.48,1050
025860,9748,31.86,1.48,452,0.42,60
005720,19877,8.71,0.23,521,2.2,100
005725,0,0.0,0.0,0,2.86,105
002350,15543,153.56,0.44,45,1.52,105
002355,0,0.0,0.0,0,3.26,110
251270,70683,31.71,1.32,2933,0.57,528
090350,16859,15.93,0.67,706,2.44,275
090355,0,0.0,0.0,0,1.35,280
000320,35333,79.08,0.34,153,3.72,450
000325,0,0.0,0.0,0,1.23,455
006280,111693,17.88,1.73,10796,1.04,2000
005250,22586,18.04,0.98,1222,1.81,400
005257,0,0.0,0.0,0,0.93,400
004370,377778,17.73,0.81,17263,1.31,4000
072710,223666,7.05,0.33,10581,2.68,2000
058730,7481,0.0,0.66,0,0.0,0
030210,10191,1.76,0.46,2669,5.33,250
023590,45679,2.37,0.45,8693,2.91,600
145210,264,0.0,0.9,0,0.0,0
019680,6083,0.0,0.66,0,1.98,80
019685,0,0.0,0.0,0,3.24,90
006370,30511,0.0,0.35,0,0.95,100
008060,16976,0.0,0.46,0,3.81,300
00806K,0,0.0,0.0,0,2.75,305
353200,13237,25.1,2.32,1223,0.98,300
35320K,0,0.0,0.0,0,1.96,305
000490,16953,9.45,0.9,1619,0.52,80
008110,14879,20.33,0.54,398,0.0,0
005750,9477,124.09,0.86,66,1.59,130
006570,5032,229.47,0.87,19,0.0,0
001680,34063,6.3,0.74,4001,3.17,800
001685,0,0.0,0.0,0,3.95,810
084690,19055,7.38,0.56,1450,2.24,240
084695,0,0.0,0.0,0,1.55,250
128820,12567,0.0,0.44,0,0.0,0
117580,11669,41.15,1.53,435,1.4,250
016710,29257,56.63,2.01,1040,0.42,250
003540,39313,1.86,0.44,9323,8.09,1400
003547,0,0.0,0.0,0,9.24,1400
003545,0,0.0,0.0,0,9.48,1450
009190,2217,9.26,2.01,481,0.0,0
014160,1622,23.71,1.42,97,0.0,0
047040,7817,5.73,0.86,1180,0.0,0
009320,734,0.0,3.2,0,0.0,0
042660,20672,0.0,1.26,0,0.0,0
003090,17576,15.68,1.69,1897,0.34,100
069620,51816,81.88,3.54,2241,0.33,600
000430,7461,0.0,0.46,0,2.93,100
006340,1190,113.06,1.71,18,0.0,0
006345,0,0.0,0.0,0,0.0,0
003220,10366,54.7,1.74,330,1.11,200
024890,1742,0.0,1.66,0,0.0,0
002880,822,0.0,1.47,0,0.0,0
000300,857,0.0,1.46,0,0.0,0
012800,3187,6.29,0.67,338,1.41,30
015230,8239,4.74,0.59,1029,2.77,135
001070,38608,114.67,1.29,433,0.0,0
006650,328546,6.26,0.46,24277,2.3,3500
001440,439,56.67,4.26,33,0.0,0
084010,30114,3.4,0.74,6563,1.79,400
001790,5313,24.36,1.01,220,2.05,110
001795,0,0.0,0.0,0,2.05,115
001130,534606,3.62,0.36,52446,1.32,2500
003490,19356,17.18,1.55,1743,0.0,0
003495,0,0.0,0.0,0,0.0,0
005880,4140,3.06,0.66,891,0.0,0
003830,660594,5.85,0.19,21701,0.59,750
016090,4991,6.44,0.56,435,3.21,90
069460,1368,0.0,2.27,0,0.0,0
192080,49639,6.71,1.0,7391,1.41,700
012510,15708,24.18,2.62,1704,1.09,450
004830,5252,22.58,1.6,372,0.54,45
004835,0,0.0,0.0,0,0.46,50
024900,1711,16.99,1.9,191,0.0,0
145720,33841,11.11,2.11,6434,0.35,250
002150,7976,18.74,1.06,451,3.31,280
001230,28552,3.29,0.68,5888,2.07,400
023450,12909,18.65,4.73,3271,7.05,4300
004140,2706,0.0,1.25,0,0.0,0
007590,11814,14.25,0.69,570,4.31,350
005960,24388,2.58,0.54,5103,6.84,900
005965,0,0.0,0.0,0,2.94,950
026960,14531,23.41,1.85,1149,2.6,700
002210,2008,0.0,4.15,0,0.0,0
102260,6992,13.09,0.69,371,4.12,200
000640,154410,11.62,0.74,9768,1.32,1500
170900,77762,45.75,0.89,1519,1.44,1000
028100,18086,49.51,1.13,412,1.72,350
282690,26982,10.55,0.47,1204,7.87,1000
001520,4010,19.38,0.39,81,2.55,40
001527,0,0.0,0.0,0,0.87,150
001529,0,0.0,0.0,0,0.41,150
084670,32252,0.0,0.6,0,0.0,0
082640,19530,3.8,0.34,1768,9.24,620
001525,0,0.0,0.0,0,1.1,90
008970,708,0.0,2.0,0,0.0,0
092780,8406,11.08,0.77,581,0.93,60
049770,206995,9.61,0.84,18009,2.02,3500
018500,684,0.0,1.43,0,0.0,0
006040,421286,4.95,0.58,49605,2.04,5000
030720,12199,8.17,1.07,1604,0.0,0
014820,22662,39.36,2.6,1499,1.02,600
014825,0,0.0,0.0,0,1.76,650
163560,14643,17.39,0.52,436,1.06,80
004890,185606,8.71,0.95,20212,2.27,4000
002690,7761,9.35,0.65,542,0.39,20
000020,12534,19.47,1.01,647,1.43,180
000150,121631,7.38,0.72,11890,2.28,2000
000157,0,0.0,0.0,0,1.75,2000
241560,43105,10.69,0.95,3845,2.92,1200
034020,11261,19.44,1.82,1052,0.0,0
000155,0,0.0,0.0,0,2.7,2050
336260,6332,323.58,5.42,106,0.0,0
33626K,0,0.0,0.0,0,0.0,0
33626L,0,0.0,0.0,0,0.0,0
016740,5970,7.74,0.64,492,2.1,80
192650,5263,9.8,2.0,1071,2.86,300
024090,25636,4.93,1.06,5524,3.3,900
003160,5534,15.25,1.63,592,2.21,200
092200,2400,7.03,2.2,753,0.0,0
013570,13963,0.0,0.64,0,1.35,120
210540,20476,5.31,0.73,2814,2.01,300
007340,82507,8.18,0.93,9379,2.61,2000
115390,13779,33.12,0.75,311,0.0,0
032350,811,0.0,20.1,0,0.0,0
089860,33557,11.84,1.3,3687,2.06,900
000400,3242,5.26,0.62,379,0.0,0
023530,356677,0.0,0.26,0,2.96,2800
004000,86322,3.57,0.95,22986,2.8,2300
286940,28633,15.5,1.24,2291,1.97,700
280360,192466,22.97,0.65,5442,1.28,1600
004990,97570,7.95,0.35,4315,4.37,1500
00499K,0,0.0,0.0,0,3.01,1550
005300,143885,14.99,1.39,13341,1.5,3000
005305,0,0.0,0.0,0,3.63,3005
011170,420424,5.04,0.47,39260,4.19,8300
002270,796390,0.0,0.43,0,2.92,10000
071840,78984,0.0,0.3,0,4.27,1000
027740,745,0.0,2.93,0,0.0,0
204320,41672,15.25,1.31,3567,1.47,800
001080,76621,94.66,0.36,290,0.73,200
138040,29591,6.41,1.29,5932,0.55,210
008560,8360,5.69,0.82,1201,1.46,100
000060,22086,7.69,2.01,5768,1.4,620
090370,704,0.0,1.2,0,0.0,0
017180,2374,0.0,1.58,0,0.0,0
009900,5662,23.9,4.04,956,0.0,0
012690,2058,44.49,1.92,89,0.0,0
005360,5405,6.12,0.94,827,1.98,100
009680,19169,16.51,0.47,548,4.42,400
009580,9788,17.42,0.53,298,2.41,125
009200,9473,0.0,0.38,0,0.69,25
033920,18822,0.0,0.5,0,2.45,230
008420,7298,4.14,0.73,1295,1.4,75
025560,19102,7.43,0.72,1843,0.0,0
007120,552,0.0,0.75,0,0.0,0
085620,14579,6.57,0.27,604,2.52,100
006800,16780,4.47,0.48,1803,3.72,300
00680K,0,0.0,0.0,0,6.76,300
006805,0,0.0,0.0,0,5.84,330
002840,59795,14.56,2.83,11641,3.54,6000
268280,65109,13.18,3.22,15897,1.0,2100
107590,87327,9.68,1.59,14308,0.36,500
134380,58718,12.73,1.21,5571,3.53,2500
003650,199594,3.73,0.41,21903,3.06,2500
003610,5145,20.55,0.76,191,1.15,45
001340,4293,16.88,1.33,337,0.88,50
035150,6016,15.93,2.11,797,0.79,100
002410,3456,34.9,1.96,194,0.0,0
007210,4049,0.0,0.96,0,0.26,10
002760,760,79.29,2.92,28,0.23,5
003850,7192,18.72,1.79,689,0.78,100
000890,611,0.0,1.63,0,0.0,0
003000,3938,0.0,3.02,0,0.84,100
001270,74017,2.85,0.33,8672,6.48,1600
001275,0,0.0,0.0,0,7.57,1650
026940,6021,12.25,0.9,440,1.39,75
011390,52585,0.0,2.22,0,0.21,250
005030,351,0.0,1.7,0,0.0,0
002070,3466,0.0,0.76,0,0.0,0
100220,16316,15.49,0.47,494,2.88,220
030790,1763,0.0,0.83,0,0.0,0
005180,63095,0.0,0.87,0,2.56,1400
003960,57550,3.99,0.59,8528,0.88,300
008040,1617,128.61,1.43,18,0.0,0
007160,90026,6.2,0.62,9031,0.54,300
014710,13357,12.41,0.53,572,0.85,60
006090,20876,6.75,0.54,1674,1.77,200
001470,1670,45.85,1.62,59,0.0,0
006400,219885,34.93,2.78,17492,0.16,1000
006405,0,0.0,0.0,0,0.34,1050
006660,27193,0.0,0.48,0,0.61,80
028260,184352,11.9,0.64,9913,3.56,4200
02826K,0,0.0,0.0,0,3.78,4250
207940,74551,142.54,11.24,5879,0.0,0
032830,210566,7.92,0.31,8183,4.63,3000
018260,93454,18.86,1.59,7901,1.61,2400
028050,10216,13.74,2.55,1900,0.0,0
009150,88937,14.27,1.89,11811,1.25,2100
009155,0,0.0,0.0,0,2.3,2150
005930,43611,11.65,1.54,5777,2.15,1444
005935,0,0.0,0.0,0,2.42,1445
001360,1896,0.0,2.08,0,0.0,0
010140,4813,0.0,1.25,0,0.0,0
010145,0,0.0,0.0,0,0.0,0
016360,68096,3.68,0.58,10810,9.56,3800
068290,18982,95.25,1.59,316,0.66,200
029780,70408,6.47,0.47,5164,6.89,2300
000810,363848,7.8,0.57,26399,5.83,12000
000815,0,0.0,0.0,0,7.41,12005
006110,11093,22.76,2.27,1105,0.8,200
145990,125904,13.86,0.45,4099,2.2,1250
145995,0,0.0,0.0,0,3.15,1300
003230,51826,13.13,1.89,7481,1.02,1000
002170,142633,4.97,0.41,11630,2.16,1250
272550,22607,10.79,1.02,2132,4.35,1000
000070,226314,2.81,0.38,30711,3.48,3000
000075,0,0.0,0.0,0,4.64,3050
002810,23697,6.25,0.6,2288,3.85,550
005680,25588,12.69,0.42,851,2.78,300
003720,1434,31.18,2.22,102,0.0,0
023000,5504,15.09,0.61,222,3.13,105
004380,9536,23.64,1.42,571,2.22,300
002450,3074,5.88,0.56,294,2.89,50
004440,21552,0.0,0.52,0,0.0,0
000520,5254,0.0,1.68,0,0.91,80
009770,86449,9.82,0.35,3046,3.34,1000
005500,19034,10.85,1.32,2308,3.19,800
004690,392735,6.5,0.29,17385,2.65,3000
010960,9871,8.39,0.53,621,3.65,190
004450,78782,57.44,0.57,780,2.79,1250
009470,9852,12.29,2.66,2131,1.15,300
011230,1230,0.0,3.16,0,0.0,0
001820,19654,19.71,2.78,2770,0.92,500
000390,12494,0.0,0.77,0,1.04,100
001290,2041,12.63,0.59,95,0.0,0
041650,9389,7.94,0.43,506,1.99,80
075180,12416,8.01,0.47,730,2.39,140
007540,86076,14.84,0.92,5356,0.25,200
