,날짜,시가,고가,저가,종가,거래량,회사코드,시가총액,60beta,60개월평균수익률,BPS,PER,PBR,EPS,DIV,DPS,기대수익률,Name,Symbol,분류기준
0,2022-04-29,187000,188000,184000,186000,767005,5380,39742282782000,1.202404250747177,1.0042746666697033,289609,9.85,0.65,18979,2.67,5000,0.423506887268421,현대차,5380,대형가치주
1,2022-04-29,56800,57300,56700,57000,640368,17670,13020672034800,0.670489105430302,1.0053753325700314,53218,7.93,1.07,7191,11.68,6660,0.376312371541013,SK텔레콤,17670,대형가치주
2,2022-04-29,72600,73400,72500,73300,252247,3550,14003834694000,0.9438341444692153,1.002300693893569,132574,4.76,0.56,15504,3.79,2800,0.178380516378383,LG,3550,대형가치주
3,2022-04-29,33400,33500,33150,33450,83152,29780,3934255035200,0.4026182681456985,0.9970655715876018,70408,6.47,0.47,5164,6.89,2300,-0.04866910216886983,삼성카드,29780,대형가치주
4,2022-04-29,121000,123500,121000,123000,27947,120,2794125567500,0.3779137083731532,0.9949658647120125,178766,66.54,0.69,1841,0.0,0,-0.11582961518817994,CJ대한통운,120,대형가치주
5,2022-04-29,110000,112500,109500,112500,3752415,660,81900266062500,0.8582728886952152,1.0123079465478249,90394,7.9,1.22,13989,1.39,1540,1.034703106011751,SK하이닉스,660,대형성장주
6,2022-04-29,282500,287500,281500,286500,540274,35420,47000062852500,0.9441806057948582,1.009732841947241,157641,2.53,1.78,110854,0.18,511,0.8801199394262004,NAVER,35420,대형성장주
7,2022-04-29,604000,628000,600000,611000,402673,6400,42015127830000,0.9199177914179858,1.0251694172296753,219885,34.93,2.78,17492,0.16,1000,2.281395912636468,삼성SDI,6400,대형성장주
8,2022-04-29,83500,83900,82700,83800,1207682,270,33969448478600,1.2794285510881718,1.0147304369259749,87073,7.11,0.97,11874,3.55,3000,1.7787684470919383,기아,270,대형성장주
9,2022-04-29,153000,154000,150500,151500,150808,11790,5733605400000,1.4240147140608603,1.0281460233747917,55782,24.78,2.74,6174,0.72,1100,3.8732321999882515,SKC,11790,대형성장주
10,2022-04-29,60600,61200,60400,61100,150707,100,3560232949920,1.018902603327909,1.0082587792735203,28297,40.71,2.15,1496,0.66,400,0.7877086495444549,유한양행,100,대형성장주
11,2022-04-29,38600,39750,37450,37850,232972,138040,4060402018600,0.3338363158087573,1.0183671213298364,29591,6.41,1.29,5932,0.55,210,0.696393948514752,메리츠금융지주,138040,대형성장주
12,2022-04-29,87200,88700,86700,88000,199232,20150,4960291477900,0.9332827333160657,1.028486755969878,21440,65.17,4.14,1361,0.34,300,2.62196320082434,일진머티리얼즈,20150,대형성장주
13,2022-04-29,67900,69700,67500,67700,750426,990,3005784407600,1.434169403012391,1.0196202142503854,25449,9.17,2.63,7292,0.67,450,2.677037215242566,DB하이텍,990,대형성장주
14,2022-04-29,74500,75700,73500,73600,186063,52690,2812992000000,1.000768693560535,1.0180238544544975,13496,170.14,5.45,432,0.32,238,1.7536171888231624,한전기술,52690,대형성장주
15,2022-04-29,37300,37700,37100,37300,188871,80,2698579000000,0.5572536072604629,1.0097008203141136,15657,36.32,2.39,1031,2.14,800,0.5791309898904436,하이트진로,80,대형성장주
16,2022-04-29,19000,19200,18850,19100,628519,93370,2553478200000,0.597213125006825,1.0162991913466715,2679,78.07,7.11,244,0.08,15,1.0039664749216213,후성,93370,중소형성장주
17,2022-04-29,71600,72200,69500,71000,238860,195870,477255864250,0.8156304087227774,1.0223037230210634,17313,16.79,4.07,4192,0.85,600,1.8060333906264023,해성디에스,195870,중소형성장주
18,2022-04-29,59000,60100,58600,59700,34740,16710,1068942000000,0.4874512633556388,1.0319423341241216,29257,56.63,2.01,1040,0.42,250,1.6095428596619736,대성홀딩스,16710,중소형성장주
19,2022-04-29,183500,185500,183500,185000,2323,17390,938540624000,0.3803275823563448,1.0141337204188714,266539,86.49,0.69,2139,0.95,1750,0.6114788551897175,서울가스,17390,중소형성장주
20,2022-04-29,50500,51200,50000,50200,31192,34120,909548583000,1.365843027538904,1.0116194403019225,37150,6.56,1.36,7693,1.98,1000,1.4638645465207607,SBS,34120,중소형성장주
21,2022-04-29,171000,172500,170000,171500,930,2840,521850000000,0.4622228912881468,1.0276407344445837,59795,14.56,2.83,11641,3.54,6000,1.3351734409727052,미원상사,2840,중소형성장주
22,2022-04-29,13100,13250,12850,13150,408121,17960,578083954550,1.2636313060643185,1.011402894196827,9042,38.92,1.44,334,1.15,150,1.3381791474721028,한국카본,17960,중소형성장주
23,2022-04-29,57700,57700,57100,57700,1165,1720,645150000000,0.46650224295952825,1.0024235348702901,81242,2.58,0.71,22418,6.92,4000,0.16975799669619152,신영증권,1720,중소형성장주
24,2022-04-29,8900,9010,8800,8910,122464,9160,531162063250,0.8340743021012734,1.0098956676321262,9786,5.5,0.91,1621,2.24,200,0.8085573469889306,SIMPAC,9160,중소형성장주
25,2022-04-29,3140,3195,3130,3190,1773328,92220,503960156000,1.0600275160891752,1.018937405357952,1884,40.25,1.71,80,0.0,0,1.9454115730585426,KEC,92220,중소형성장주
26,2022-04-29,6940,7100,6940,6990,215900,37270,661124689200,2.123097691909258,1.0176961287443365,2125,20.2,3.31,348,0.0,0,3.4824414709011293,YG PLUS,37270,중소형성장주
27,2022-04-29,14950,18300,14600,17650,27877922,117580,381522894480,0.34556952640360417,1.0173989524913123,11669,41.15,1.53,435,1.4,250,0.682140871953439,대성에너지,117580,중소형성장주
28,2022-04-29,7350,7350,7060,7110,350894,75580,499917332200,1.0589607715039802,1.0177707082469725,2983,24.85,2.47,297,2.03,150,1.8200561372378146,세진중공업,75580,중소형성장주
29,2022-04-29,2430,2450,2380,2430,1914573,18470,302255181200,0.8408920721646592,1.0088526077478053,1361,15.22,1.8,161,0.0,0,0.7262303528783577,조일알미늄,18470,중소형성장주
30,2022-04-29,27450,27700,26600,26900,63727,24090,331128952650,0.05750443130466193,1.0123891588390703,25636,4.93,1.06,5524,3.3,900,0.20974226707745408,디씨엠,24090,중소형성장주
31,2022-04-29,22700,22750,22250,22350,190028,2460,109689279625,0.9605424915525214,1.0070074183125075,34410,9.02,0.65,2467,4.49,1000,0.6309838062141684,화성산업,2460,중소형성장주
32,2022-04-29,12050,12600,11900,12250,781482,2710,264077356400,1.5775151733489048,1.0263221324862106,6507,9.94,1.9,1242,1.21,150,3.986853304519958,TCC스틸,2710,중소형성장주
33,2022-04-29,16150,16500,16050,16200,173720,11500,216955042400,0.9319219098912964,1.0175021051548998,9658,12.5,1.67,1288,1.43,230,1.5946751443289937,한농화성,11500,중소형성장주
34,2022-04-29,61000,61600,60900,61300,387,23450,186298537950,0.35538827841228693,1.0171733153554867,12909,18.65,4.73,3271,7.05,4300,0.6892418421993143,동남합성,23450,중소형성장주
35,2022-04-29,16300,16500,16300,16450,5012,4080,211991804000,-0.223156366769434,1.006577879323692,10783,11.64,1.53,1418,1.33,220,0.047841708261599836,신흥,4080,중소형성장주
36,2022-04-29,12200,13100,11150,11350,2234187,6880,171680000000,0.7479654472611043,1.0103749667659314,8722,18.26,1.4,668,0.98,120,0.7764185762876775,신송홀딩스,6880,중소형성장주
37,2022-04-29,4530,4610,4370,4375,2516055,9180,154085505560,1.5912607240303587,1.0121480357156314,2859,5.04,1.51,855,1.39,60,1.7648170660341542,한솔로지스틱스,9180,중소형성장주
38,2022-04-29,3130,3210,3050,3205,126837,3720,154050000000,0.9953071694546585,1.0106737178231973,1434,31.18,2.22,102,0.0,0,1.0133013535254887,삼영화학,3720,중소형성장주
39,2022-04-29,10400,10600,10100,10550,297660,3780,166000000000,0.6074474666705019,1.0181522413749697,3652,21.49,2.81,477,1.71,175,1.131163810427583,진양산업,3780,중소형성장주
40,2022-04-29,3290,3420,3265,3280,411996,24900,142131202400,1.4565214869601437,1.0130688358271598,1711,16.99,1.9,191,0.0,0,1.7621997217892484,덕양산업,24900,중소형성장주
41,2022-04-29,1800,1810,1790,1795,227207,6200,84011629120,0.9584297790779549,1.013287997584034,2900,3.4,0.62,531,0.0,0,1.2318753030698286,한국전자홀딩스,6200,중소형성장주
42,2022-04-29,15300,15400,15100,15300,479538,42700,1513472236200,1.602269740437928,1.0237572660208296,3506,14.19,4.28,1057,2.0,300,3.6361008979833613,한미반도체,42700,중소형가치주
43,2022-04-29,35300,35800,35200,35200,56109,181710,1207000000000,0.8123021430986097,1.0013587374753932,53297,10.67,0.67,3341,0.0,0,0.09791010769730453,NHN,181710,중소형가치주
44,2022-04-29,48600,48900,48500,48900,18074,214320,385082832100,0.7174516677100776,0.995550893978134,41003,14.91,1.2,3294,3.67,1800,-0.31269218706268587,이노션,214320,중소형가치주
45,2022-04-29,4810,4845,4790,4810,599399,3530,713366270000,1.8249160018662893,1.0105669369610717,8572,7.22,0.56,659,4.2,200,1.7133940347239494,한화투자증권,3530,중소형가치주
46,2022-04-29,24300,25050,24200,24450,256519,1530,599849324800,1.4387622086550862,1.0259911224896983,29290,10.79,0.82,2234,0.83,200,3.6017520381392973,DI동일,1530,중소형가치주
47,2022-04-29,17000,17050,16850,17050,14818,34310,645893215000,0.5711407507724777,0.9980226230025141,20040,10.95,0.85,1548,2.21,375,-0.07716420844492816,NICE,34310,중소형가치주
48,2022-04-29,27950,27950,27150,27200,33198,1880,598469436500,1.411462439778163,1.0080130391952247,41105,3.45,0.66,7911,2.75,750,0.9987178972973534,DL건설,1880,중소형가치주
49,2022-04-29,20150,21200,20150,21150,44641,3070,533200763700,1.6156145667200204,1.0075728769429757,23514,3.84,0.89,5454,2.39,500,1.0503621167609682,코오롱글로벌,3070,중소형가치주
50,2022-04-29,55700,55700,54900,55200,26657,7690,382148003790,0.8215370344836014,1.006605564589396,92708,2.6,0.6,21321,3.97,2200,0.5283641874895153,국도화학,7690,중소형가치주
51,2022-04-29,38900,39050,38500,38950,11001,8490,388534954280,0.7522042562018123,1.0006993421047037,34874,8.1,1.12,4829,1.28,500,0.05216395952956182,서흥,8490,중소형가치주
52,2022-04-29,4035,4255,4035,4130,2573597,1790,347277304000,0.8932395843349104,1.0080687793431335,5313,24.36,1.01,220,2.05,110,0.69208739378809,대한제당,1790,중소형가치주
53,2022-04-29,36300,36800,36300,36500,944,16800,197971331250,0.3306518781314906,1.0024054741883794,54249,7.44,0.67,4917,3.01,1100,0.16340708019215042,퍼시스,16800,중소형가치주
54,2022-04-29,9880,9990,9860,9920,49874,9410,390082246145,1.0683387929508628,1.019249271757422,17753,5.15,0.56,1920,3.54,350,1.9928066168605596,태영건설,9410,중소형가치주
55,2022-04-29,81000,81300,80700,80900,828,480,318690515220,0.30265151402634566,0.9985800306305953,207776,10.5,0.4,7840,5.47,4500,0.046494109242594256,조선내화,480,중소형가치주
56,2022-04-29,48900,50100,48400,49500,1864,4700,509446242550,0.3687696539811513,1.0041756366036434,106105,15.62,0.46,3153,0.61,300,0.2302308757514302,조광피혁,4700,중소형가치주
57,2022-04-29,17900,18300,17850,18300,28626,1940,91028901250,0.9325404886647597,1.005913930961624,68463,2.28,0.27,8106,2.16,400,0.5149899091553043,KISCO홀딩스,1940,중소형가치주
58,2022-04-29,17450,17800,17350,17400,5839,36530,283687616400,0.5588430176073669,1.0021874577917522,65710,3.33,0.27,5329,3.94,700,0.16047594780168256,SNT홀딩스,36530,중소형가치주
59,2022-04-29,14300,14300,14100,14150,10816,2810,210140000000,0.5403308716979335,0.9972472183826134,23697,6.25,0.6,2288,3.85,550,-0.10680746343123984,삼영무역,2810,중소형가치주
60,2022-04-29,36750,37500,36650,37250,4589,15360,157390672070,0.4178701633461619,1.0001799549597885,114939,7.4,0.33,5064,6.01,2250,0.07394574817494522,예스코홀딩스,15360,중소형가치주
61,2022-04-29,13600,13750,13550,13700,13209,1750,261602505000,0.9789014767935935,1.0104094031098176,32750,2.2,0.42,6206,6.59,900,0.9731977123153125,한양증권,1750,중소형가치주
62,2022-04-29,17750,20250,17750,18300,372841,100840,137372811300,0.7963734091254293,1.0003842491204789,37171,11.22,0.59,1957,3.64,800,0.021325896377833276,SNT에너지,100840,중소형가치주
63,2022-04-29,27500,28500,27100,27900,46978,34590,122055636600,0.195433267419632,0.9986255949661037,46433,31.08,0.6,901,4.46,1250,0.08405289986283924,인천도시가스,34590,중소형가치주
64,2022-04-29,44950,45500,44500,44800,918,4450,91628203779,0.2805406868757558,0.9994512535885606,78782,57.44,0.57,780,2.79,1250,0.07849729310626655,삼화왕관,4450,중소형가치주
65,2022-04-29,8000,8290,7890,8180,33220,8110,85811856460,0.7888791268254041,1.0095670989716663,14879,20.33,0.54,398,0.0,0,0.7469526429369524,대동전자,8110,중소형가치주
